"正则","备注"
"^(你品)?.?你细?品$","你品你细品"
"^(小朋友)?.?你是否有[很许]多(问号|问好|？|\?)$",
"^[Oo]+[Hh]+[!！]*$","OOOOOOOOOOOOHHHHHHHHHHHHHHHHHH"
"^(祥瑞[玉御]兔|羊踹[玉御]兔).?(家宅平安|[玉御]兔喊疼)$",
"^下次一定$",
"^(同样)?是?(九年)?义务教育.*秀",
"♂",
"(人生|旷野)是(人生|旷野)","妈妈，人生是旷野（无法洞悉本梗诡异的精神内核及其目的表达）"
"[Dd][Nn][Aa]动了",
"[多双Nn][厨除处]狂.$","去你妈的"
"[诗是]人[握卧我][吃持].?$","2024最烂烂梗"
"[部不]诗人",
"(my|还在)go[!！]?","gop特有的听到类似发音就应激"
"迷途之子","不太可能出现歧义，不写多余的匹配规则了"
"主唱太拼命了",
"([人入]机|仁济).{0,4}","人机XX"
"^[^飞时生动危司相主无座母商天样停趁借点转契客手玄耳死]机$","“X机”，表达X是人机，尽量在不误伤正常词汇了"
"輮以为[轮论伦]","出现在任何有关木头、竹子弯曲的视频中（这群人的错别字也太多了）"
"^(优雅)?.?(实在是?)?太优雅了?[!！]*$","优雅，实在是太优雅了！"
